sentiment,review_body,product_category
-1,This looks nothing like it does on the website. it runs small and the colors are so muddy. it doesn't drape nicely and i a musually an xs and this was short  stiff and plain ugly. sent it back immediately.,Blouses
-1,I wanted to love this shirt. it's not my usual style buy it looked so great online. unfortunately the actual shirt is much more brown in color and design than i thought looking online. i'm fair coloring & it just wasn't flattering. i'm thin but have a larger chest and this style just wasn't right for me. could definitely be cute on someone else but not a good match for me.,Blouses
-1,I saw this online and went to the store to try it on. so glad i did! it did not work on me at all! it is so wide - just did not look right. it was also not flattering at the neckline either. i thought it was beautiful until i had it on! too bad - wanted to love it!,Blouses
-1,The blouse is lovely - but after washing it exactly as specified  it shrank more than a full size. this is an expensive hand-me-down for my daughter...,Blouses
-1,Didn't work on this curvy gal.  sizing up would have helped with the button gaps  but the flowy shape of the blouse would have looked too maternity on a larger size.  major pass.,Blouses
-1,This shirt has absolutely no shape. look carefully at the model and you we discover she is cleverly positioned to hide the sheer boxy-ness of this shirt. the print is beautiful but it looks like a maternity shirt. i even ordered the xs at 5'7 and 130 lbs but found it too baggy. returned.,Blouses
-1,I was drawn to this top because of the interesting and detailed straps  which are embroidered with a lovely triangle pattern. however the embroidery takes away any stretchy-ness or give in the cotton and makes the top a beautiful but ill-fitting harness for anyone with any breasts or full-figured lusciousness. the worst part is that the top hem along the top is embroidered and rigid just like the straps  so it feels like you are wearing an uncomfortable strapless top. i wanted to keep this but h,Blouses
-1,Gals  if you absolutely must have this top wait for it to go on sale (don't worry  it will). between the poor fit and the polyester  i have no good things to report about it. this is very much below retailer's usual quality and style.,Blouses
-1,So much right but then....too short.,Blouses
0,After the reviews about sizing  i ordered the size 16 (am normally size large). interestingly  the tag on the blouse says it's a 14. with all that said  the blouse is cute enough and sizing up gave me enough length (in spite of the higher sides) that i'm considering keeping it. although it's a bit big  it flows nicely and isn't oversized in that wide  crazy way. the sleeves are a bit too big but they're cuffed with a button and can be rolled. the fabric is somewhat crinkled in texture. i got the,Blouses
0,Although the fabric and color is beautiful   the sleeves do not lay properly. they are too stiff and look like wings on me. sadly i must return. the quality looks great. it is unfortunate that the design was a miss.,Blouses
0,This shirt is really cute but a little stiff. it does come with a slip  but the slip was tight  but the shirt fit  maybe even a little big. i used another cami under which was better. i think think the sizing is off in terms of slip vs. the actual shirt. i got it in the store with the 30% off  so it was a good deal. it does stretch out as you wear it  so it will get bigger and it did make me look a little bigger  but still cute on and for a summer shirt  it's thin  so it does work well in that r,Blouses
0,This top is very cute  but i found it runs small in the bust  which is unusual for maeve. i will have to return it. you may want to size up  if you have a generous bust.,Blouses
0,I was so excited to receive this shirt. it is a beautiful color and material and very well made. i loved the lace detail and wanted to love the shirt. however  i put it on and the seem hit right at the top of my bust. it broadened my shoulders and the fabric started right at my bust so it flowed down from there making me look boxy and wide. i am a 32dd  5'3  and 115 pounds for reference. if you are more narrow and don't have a chest this would be absolutely adorable but sadly for me it had to go,Blouses
0,I love this fabric  and the design details of this top. but i am only 5'3  and this top ends above my waist! shoulders and sleeves fit perfectly and the neck and back details are very flattering. i ended up keeping the shirt because i love the fabric so much  but i am trying to find a way to wear this shirt with how short it is. tucking in or wearing with high-waisted bottoms are all i can figure out  for someone without a perfectly flat tummy.,Blouses
0,I bought the orange in xxs petite  and the cream in the xsp as it did not come in xxs.    i like a swing style  but this is a tent. the material in the cream is fairly sheer  and i found hanging threads that came from suspect seams. the overall effects was being lost in all the fabric. they rather skew old school maternity in summation. mine are going back.,Blouses
